OI,CHNG_IN_OI,VOLUME,IV,LTP,CHNG,BID_QTY,BID,ASK,ASK_QTY,STRIKE,TYPE,MID_PRICE,PRICE,SPOT,MONEYNESS,T,BS_PRICE,PRICE_DIFF,%_DIFF
2049.0,949.0,2082.0,20.68,4.6,-0.35,300.0,4.5,4.6,825.0,22600.0,PUT,4.55,4.6,24631.3,0.9175317583724774,0.03285420944558522,2.693550054824925,-1.9064499451750745,-41.4445640255451
185.0,148.0,229.0,20.48,5.0,0.4,300.0,4.85,5.1,300.0,22650.0,PUT,4.975,5.0,24631.3,0.9195616958910005,0.03285420944558522,2.9754606741619796,-2.0245393258380204,-40.49078651676041
275.0,98.0,323.0,19.97,4.9,-0.6,75.0,5.1,5.3,450.0,22700.0,PUT,5.199999999999999,4.9,24631.3,0.9215916334095237,0.03285420944558522,2.9177387256199268,-1.9822612743800736,-40.45431172204231
34.0,-3.0,17.0,19.97,5.75,-0.15,300.0,4.95,5.95,300.0,22750.0,PUT,5.45,5.75,24631.3,0.9236215709280469,0.03285420944558522,3.4889584420648703,-2.2610415579351297,-39.32246187713269
16043.0,-2824.0,6994.0,19.49,5.7,0.05,75.0,5.6,5.7,1950.0,22800.0,PUT,5.65,5.7,24631.3,0.9256515084465701,0.03285420944558522,3.47270578432898,-2.2272942156710203,-39.07533711703544
567.0,36.0,152.0,19.23,6.1,,75.0,5.85,6.25,300.0,22850.0,PUT,6.05,6.1,24631.3,0.9276814459650933,0.03285420944558522,3.7647927608469445,-2.335207239153055,-38.28208588775501
1860.0,-3.0,644.0,18.84,6.25,-0.1,75.0,6.25,6.45,75.0,22900.0,PUT,6.35,6.25,24631.3,0.9297113834836164,0.03285420944558522,3.8869909460498775,-2.3630090539501225,-37.80814486320196
365.0,38.0,332.0,18.72,7.05,0.2,75.0,6.65,6.9,300.0,22950.0,PUT,6.775,7.05,24631.3,0.9317413210021396,0.03285420944558522,4.455714324658402,-2.594285675341598,-36.79837837363969
31589.0,-191.0,19987.0,18.16,6.85,-0.3,1125.0,6.85,7.1,375.0,23000.0,PUT,6.975,6.85,24631.3,0.9337712585206628,0.03285420944558522,4.322586500032116,-2.5274134999678832,-36.89654744478662
298.0,7.0,135.0,18.05,7.75,-0.05,75.0,7.4,7.85,75.0,23050.0,PUT,7.625,7.75,24631.3,0.935801196039186,0.03285420944558522,4.988853106843521,-2.7611468931564787,-35.62770184718037
2008.0,-138.0,1302.0,17.64,8.1,0.15,75.0,7.85,8.1,225.0,23100.0,PUT,7.975,8.1,24631.3,0.9378311335577091,0.03285420944558522,5.14163132670086,-2.958368673299139,-36.52307004073012
362.0,64.0,324.0,17.25,8.2,-0.55,450.0,8.3,8.75,300.0,23150.0,PUT,8.525,8.2,24631.3,0.9398610710762323,0.03285420944558522,5.3465053493559935,-2.8534946506440058,-34.79871525175617
6792.0,226.0,2524.0,17.13,9.3,0.05,18825.0,9.0,9.3,450.0,23200.0,PUT,9.15,9.3,24631.3,0.9418910085947555,0.03285420944558522,6.169353998244674,-3.130646001755327,-33.66286023392824
672.0,-15.0,484.0,16.84,9.95,0.1,75.0,9.5,10.1,225.0,23250.0,PUT,9.8,9.95,24631.3,0.9439209461132787,0.03285420944558522,6.683504787235279,-3.2664952127647204,-32.829097615725836
4887.0,-247.0,2594.0,16.54,10.65,0.25,75.0,10.35,10.6,75.0,23300.0,PUT,10.475,10.65,24631.3,0.9459508836318018,0.03285420944558522,7.225112456349848,-3.4248875436501525,-32.158568484977955
718.0,90.0,430.0,16.14,11.0,-0.25,750.0,11.1,11.7,450.0,23350.0,PUT,11.399999999999999,11.0,24631.3,0.947980821150325,0.03285420944558522,7.541070476679806,-3.4589295233201938,-31.4448138483654
5177.0,296.0,3642.0,15.96,12.3,0.5,225.0,12.0,12.3,300.0,23400.0,PUT,12.15,12.3,24631.3,0.9500107586688482,0.03285420944558522,8.547680446728236,-3.7523195532717644,-30.50666303472979
529.0,-207.0,479.0,15.72,13.45,0.45,75.0,13.0,13.65,300.0,23450.0,PUT,13.325,13.45,24631.3,0.9520406961873714,0.03285420944558522,9.488005658947827,-3.961994341052172,-29.457206996670426
26852.0,-1282.0,20063.0,15.34,14.05,0.15,450.0,14.1,14.25,675.0,23500.0,PUT,14.175,14.05,24631.3,0.9540706337058945,0.03285420944558522,10.038019036880655,-4.0119809631193455,-28.555024648536264
939.0,82.0,414.0,15.18,15.9,0.8,75.0,15.25,16.0,150.0,23550.0,PUT,15.625,15.9,24631.3,0.9561005712244177,0.03285420944558522,11.494174596659377,-4.405825403340623,-27.709593731702032
6487.0,-85.0,6947.0,14.86,17.2,0.65,525.0,17.0,17.2,300.0,23600.0,PUT,17.1,17.2,24631.3,0.9581305087429409,0.03285420944558522,12.468110885367878,-4.731889114632121,-27.510983224605358
992.0,155.0,832.0,14.6,19.2,1.35,300.0,18.45,19.2,300.0,23650.0,PUT,18.825,19.2,24631.3,0.9601604462614641,0.03285420944558522,13.82915710779912,-5.37084289220088,-27.973140063546253
6836.0,357.0,7772.0,14.42,20.95,1.15,75.0,20.5,20.85,225.0,23700.0,PUT,20.675,20.95,24631.3,0.9621903837799873,0.03285420944558522,15.767472601168265,-5.182527398831734,-24.73760094907749
878.0,-11.0,1431.0,14.15,22.85,1.25,75.0,22.85,23.45,300.0,23750.0,PUT,23.15,22.85,24631.3,0.9642203212985104,0.03285420944558522,17.477525396821875,-5.3724746031781265,-23.51192386511215
15377.0,960.0,14065.0,14.0,26.0,1.65,300.0,25.45,26.0,150.0,23800.0,PUT,25.725,26.0,24631.3,0.9662502588170336,0.03285420944558522,20.13240548559361,-5.867594514406392,-22.56767120925535
1467.0,-285.0,2312.0,13.76,28.7,2.15,225.0,28.0,28.85,450.0,23850.0,PUT,28.425,28.7,24631.3,0.9682801963355568,0.03285420944558522,22.57039471236567,-6.12960528763433,-21.357509713011606
15457.0,241.0,12193.0,13.54,31.9,2.2,300.0,31.55,32.1,525.0,23900.0,PUT,31.825000000000003,31.9,24631.3,0.97031013385408,0.03285420944558522,25.477459345389434,-6.422540654610565,-20.133356284045657
1974.0,109.0,2038.0,13.26,34.95,2.2,150.0,35.0,35.7,375.0,23950.0,PUT,35.35,34.95,24631.3,0.9723400713726031,0.03285420944558522,28.307709294378583,-6.64229070562142,-19.00512362123439
51066.0,-3723.0,60903.0,13.09,39.0,2.45,150.0,39.25,39.5,450.0,24000.0,PUT,39.375,39.0,24631.3,0.9743700088911263,0.03285420944558522,32.44513404655618,-6.554865953443823,-16.807348598573903
1592.0,312.0,2466.0,12.92,44.55,3.9,75.0,43.75,44.8,300.0,24050.0,PUT,44.275,44.55,24631.3,0.9763999464096496,0.03285420944558522,37.16532862725035,-7.384671372749651,-16.576142250840967
9806.0,1111.0,16125.0,12.72,50.0,4.65,75.0,49.5,50.0,375.0,24100.0,PUT,49.75,50.0,24631.3,0.9784298839281728,0.03285420944558522,42.23905264786072,-7.760947352139283,-15.521894704278566
1889.0,290.0,2807.0,12.57,56.55,5.35,375.0,55.4,56.65,300.0,24150.0,PUT,56.025,56.55,24631.3,0.9804598214466959,0.03285420944558522,48.54964517134431,-8.000354828655688,-14.147400227507848
25640.0,7132.0,39340.0,12.44,63.95,7.0,150.0,63.0,64.2,75.0,24200.0,PUT,63.6,63.95,24631.3,0.9824897589652191,0.03285420944558522,55.95895154084701,-7.991048459152992,-12.49577554206879
3813.0,721.0,5613.0,12.15,72.8,7.65,75.0,70.5,72.75,75.0,24250.0,PUT,71.625,72.8,24631.3,0.9845196964837423,0.03285420944558522,62.33689039861656,-10.463109601383437,-14.372403298603622
20860.0,933.0,23973.0,12.07,81.25,7.95,75.0,79.05,81.35,75.0,24300.0,PUT,80.19999999999999,81.25,24631.3,0.9865496340022655,0.03285420944558522,72.37391169800412,-8.876088301995878,-10.924416371687235
2407.0,136.0,3898.0,11.86,90.5,6.75,75.0,89.5,92.0,900.0,24350.0,PUT,90.75,90.5,24631.3,0.9885795715207886,0.03285420944558522,81.84015752843152,-8.659842471568481,-9.568886708915448
18335.0,396.0,26006.0,11.79,103.4,9.2,75.0,102.65,103.4,75.0,24400.0,PUT,103.025,103.4,24631.3,0.9906095090393118,0.03285420944558522,94.61951732927992,-8.78048267072009,-8.49176273764032
3486.0,297.0,7597.0,11.65,118.25,11.45,150.0,115.85,117.95,75.0,24450.0,PUT,116.9,118.25,24631.3,0.992639446557835,0.03285420944558522,107.81517182974312,-10.434828170256878,-8.824379002331398
54186.0,1650.0,75410.0,11.62,133.85,12.2,75.0,130.7,133.55,75.0,24500.0,PUT,132.125,133.85,24631.3,0.9946693840763582,0.03285420944558522,124.36823544076105,-9.48176455923894,-7.083873409965588
3833.0,142.0,7613.0,11.5,152.8,16.1,75.0,146.25,149.6,75.0,24550.0,PUT,147.925,152.8,24631.3,0.9966993215948814,0.03285420944558522,141.15188686525107,-11.64811313474894,-7.623110690280719
22594.0,1138.0,68191.0,11.35,170.0,15.6,75.0,166.25,168.0,825.0,24600.0,PUT,167.125,170.0,24631.3,0.9987292591134045,0.03285420944558522,159.1730784084266,-10.82692159157341,-6.3687774068078875
5595.0,1692.0,17379.0,11.25,187.0,12.9,75.0,187.05,189.0,1200.0,24650.0,PUT,188.025,187.0,24631.3,1.0007591966319278,0.03285420944558522,179.91901566562046,-7.0809843343795364,-3.786622638705634
24222.0,6132.0,47474.0,11.21,214.0,18.7,75.0,209.4,213.0,225.0,24700.0,PUT,211.2,214.0,24631.3,1.002789134150451,0.03285420944558522,203.67325932867425,-10.326740671325751,-4.825579752955958
1713.0,97.0,6320.0,11.25,237.0,17.0,75.0,234.1,239.85,75.0,24750.0,PUT,236.975,237.0,24631.3,1.004819071668974,0.03285420944558522,230.82540449799126,-6.174595502008742,-2.6053145578095958
14679.0,-67.0,15332.0,11.33,271.05,27.0,825.0,264.0,267.25,75.0,24800.0,PUT,265.625,271.05,24631.3,1.0068490091874973,0.03285420944558522,260.61536505557524,-10.434634944424772,-3.8497085203559385
1470.0,106.0,1281.0,11.49,297.55,25.2,750.0,293.1,298.9,75.0,24850.0,PUT,296.0,297.55,24631.3,1.0088789467060204,0.03285420944558522,293.61841859720516,-3.9315814027948477,-1.321317897091194
10639.0,-112.0,4375.0,11.42,330.9,27.8,75.0,325.05,331.15,75.0,24900.0,PUT,328.1,330.9,24631.3,1.0109088842245435,0.03285420944558522,324.5017106975465,-6.398289302453463,-1.9336020859635732
1146.0,-26.0,196.0,11.34,358.4,23.1,450.0,360.0,364.0,150.0,24950.0,PUT,362.0,358.4,24631.3,1.0129388217430668,0.03285420944558522,357.08611352215667,-1.3138864778433117,-0.36659778957681693
42033.0,-1841.0,17960.0,11.66,398.0,27.25,525.0,398.0,400.0,450.0,25000.0,PUT,399.0,398.0,24631.3,1.01496875926159,0.03285420944558522,397.4906198045064,-0.509380195493577,-0.1279849737421048
596.0,22.0,154.0,11.8,435.9,24.4,150.0,433.55,440.3,75.0,25050.0,PUT,436.925,435.9,24631.3,1.0169986967801132,0.03285420944558522,436.4078887196847,0.507888719684729,0.11651496207495506
7407.0,-103.0,1477.0,11.95,475.0,30.2,150.0,473.65,479.6,75.0,25100.0,PUT,476.625,475.0,24631.3,1.0190286342986363,0.03285420944558522,476.6936806737249,1.6936806737248844,0.35656435236313355
481.0,-15.0,76.0,11.6,508.1,20.15,150.0,515.1,520.75,150.0,25150.0,PUT,517.925,508.1,24631.3,1.0210585718171594,0.03285420944558522,511.8481894859651,3.7481894859650993,0.7376873619297577
21886.0,-94.0,1844.0,12.4,558.7,34.1,150.0,557.05,563.55,75.0,25200.0,PUT,560.3,558.7,24631.3,1.0230885093356827,0.03285420944558522,562.239169727105,3.5391697271049907,0.6334651381967049
551.0,-6.0,26.0,12.4,598.8,27.05,150.0,599.25,607.55,150.0,25250.0,PUT,603.4,598.8,24631.3,1.0251184468542058,0.03285420944558522,603.7227883106716,4.922788310671649,0.8221089363179107
7235.0,-65.0,749.0,12.93,646.5,33.7,150.0,645.5,652.05,75.0,25300.0,PUT,648.775,646.5,24631.3,1.027148384372729,0.03285420944558522,651.7140151664898,5.214015166489844,0.8064988656596819
800.0,110.0,123.0,12.48,683.05,21.55,150.0,690.2,698.05,150.0,25350.0,PUT,694.125,683.05,24631.3,1.0291783218912522,0.03285420944558522,690.4991814972454,7.44918149724549,1.0905763117261535
5111.0,-373.0,839.0,13.88,741.5,41.35,1800.0,737.1,744.1,75.0,25400.0,PUT,740.6,741.5,24631.3,1.0312082594097753,0.03285420944558522,747.3442276750575,5.844227675057482,0.7881628691918383
300.0,153.0,210.0,13.57,780.85,-79.35,300.0,779.4,792.35,150.0,25450.0,PUT,785.875,780.85,24631.3,1.0332381969282987,0.03285420944558522,788.5572086575303,7.707208657530259,0.9870280665339385
26610.0,-147.0,1328.0,14.37,832.55,36.25,150.0,832.6,835.0,75.0,25500.0,PUT,833.8,832.55,24631.3,1.0352681344468218,0.03285420944558522,839.8918358126102,7.34183581261027,0.8818492357948796
205.0,-40.0,52.0,15.23,885.0,40.7,150.0,873.05,887.0,75.0,25550.0,PUT,880.025,885.0,24631.3,1.0372980719653448,0.03285420944558522,891.748781400569,6.748781400568987,0.7625741695558177
1716.0,9.0,117.0,15.46,931.0,36.85,75.0,925.3,935.35,75.0,25600.0,PUT,930.325,931.0,24631.3,1.0393280094838682,0.03285420944558522,938.4743391278353,7.474339127835265,0.8028291222164623
1439.0,12.0,105.0,15.02,1016.3,25.55,750.0,1020.75,1029.8,75.0,25700.0,PUT,1025.275,1016.3,24631.3,1.0433878845209146,0.03285420944558522,1026.9320346302375,10.632034630237513,1.0461511984883904
2066.0,9.0,32.0,15.68,1112.75,35.75,150.0,1120.5,1130.0,150.0,25800.0,PUT,1125.25,1112.75,24631.3,1.0474477595579608,0.03285420944558522,1124.1439890266556,11.393989026655618,1.0239486880840816
680.0,-9.0,13.0,14.88,1200.85,17.3,225.0,1218.9,1232.35,75.0,25900.0,PUT,1225.625,1200.85,24631.3,1.0515076345950072,0.03285420944558522,1215.4081328999891,14.558132899989232,1.212319015696318
43.0,,1.0,11.47,1237.05,24.85,150.0,1266.15,1276.5,225.0,25950.0,PUT,1271.325,1237.05,24631.3,1.0535375721135303,0.03285420944558522,1256.3077277352131,19.257727735213166,1.556746108501125
17910.0,-255.0,769.0,18.87,1320.0,41.05,75.0,1317.4,1323.8,75.0,26000.0,PUT,1320.6,1320.0,24631.3,1.0555675096320536,0.03285420944558522,1329.5279009565384,9.52790095653836,0.7218106785256333
500.0,6.0,13.0,19.28,1415.0,-8.65,150.0,1411.7,1425.6,225.0,26100.0,PUT,1418.65,1415.0,24631.3,1.0596273846691,0.03285420944558522,1425.6815883662894,10.681588366289361,0.7548825700557853
70.0,8.0,8.0,19.16,1460.7,49.45,1725.0,1325.1,1475.1,225.0,26150.0,PUT,1400.1,1460.7,24631.3,1.061657322187623,0.03285420944558522,1472.428260093202,11.728260093201925,0.8029205239407082
268.0,-5.0,9.0,16.63,1495.05,1.85,225.0,1513.1,1525.05,225.0,26200.0,PUT,1519.0749999999998,1495.05,24631.3,1.0636872597061462,0.03285420944558522,1511.3199614063633,16.269961406363336,1.0882553363675689
154.0,8.0,8.0,20.3,1608.1,20.85,750.0,1612.35,1623.95,225.0,26300.0,PUT,1618.15,1608.1,24631.3,1.0677471347431926,0.03285420944558522,1620.4815275754481,12.381527575448217,0.7699476136713026
8970.0,66.0,317.0,23.18,1813.0,31.55,75.0,1811.65,1821.05,75.0,26500.0,PUT,1816.35,1813.0,24631.3,1.0758668848172854,0.03285420944558522,1823.9709815082097,10.970981508209661,0.6051285994599923
9348.0,-20.0,85.0,27.68,2310.0,34.25,150.0,2310.7,2319.95,75.0,27000.0,PUT,2315.325,2310.0,24631.3,1.096166260002517,0.03285420944558522,2321.597682573356,11.597682573355996,0.5020641806647618
25.0,1.0,1.0,30.75,2516.0,69.25,75.0,2496.2,2541.2,150.0,27200.0,PUT,2518.7,2516.0,24631.3,1.1042860100766099,0.03285420944558522,2525.903499336069,9.903499336069217,0.3936208003207161
